x,y,total_user_count
1,1,13
1,2,49
1,3,24
1,5,2
1,6,13
1,7,27
1,8,14
1,9,23
1,10,12
1,11,5
1,12,2
1,13,2
1,14,1
1,15,2
1,16,3
1,17,54
1,18,31
1,20,16
1,21,122
1,22,29
1,23,3
1,24,29
1,25,44
1,26,91
1,27,44
1,28,35
1,29,21
1,30,15
1,31,42
1,32,17
1,33,16
1,34,25
1,35,104
1,36,66
1,37,32
1,39,1
1,40,1
1,41,9
1,42,172
1,43,178
1,44,5
1,45,2
1,46,1
1,47,3
1,48,2
1,49,2
1,50,3
1,51,7
1,52,6
1,53,4
1,54,1
1,55,3
1,56,1
1,60,1
1,61,1
1,62,2
1,63,1
1,64,1
1,65,2
1,66,1
1,67,1
1,68,7
1,69,1
1,70,1
1,71,1
1,73,1
1,76,2
1,77,1
1,78,1
1,83,1
1,84,1
1,85,1
1,86,2
1,87,1
1,88,1
1,89,3
1,90,1
1,92,1
1,93,3
1,94,3
1,95,2
1,96,2
1,101,1
1,104,1
1,105,2
1,113,1
1,114,2
1,115,1
1,116,3
1,117,1
1,118,3
1,119,7
1,120,2
1,121,6
1,122,1
1,123,4
1,125,1
1,128,1
1,130,7
1,133,1
1,134,9
1,135,17
1,136,10
1,137,6
1,138,12
1,139,13
1,141,2
1,142,1
1,143,1
1,145,1
1,147,1
1,148,1
1,149,3
1,150,1
1,151,2
1,154,2
1,155,306
1,156,222
1,157,76
1,158,16
1,159,15
1,160,6
1,161,1
1,162,3
1,163,6
1,164,45
1,165,19
1,166,11
1,167,6
1,168,1
1,169,2
1,170,2
1,171,1
1,177,2
1,178,2
1,179,4
1,180,3
1,181,4
1,182,10
1,183,3
1,184,6
1,185,34
1,186,70
1,187,88
1,188,183
1,189,17
1,190,29
1,191,13
1,192,9
1,193,1
1,195,2
1,196,1
1,199,2
1,200,3
2,1,143
2,2,97
2,3,6
2,4,2
2,5,4
2,6,17
2,9,2
2,10,4
2,11,1
2,12,1
2,13,2
2,15,2
2,16,11
2,17,38
2,20,24
2,21,88
2,22,21
2,25,2
2,26,38
2,27,50
2,28,71
2,29,64
2,30,25
2,31,74
2,32,48
2,33,61
2,34,56
2,35,23
2,36,1
2,37,2
2,40,4
2,42,3
2,43,140
2,44,80
2,45,1
2,47,1
2,48,1
2,50,6
2,51,1
2,55,1
2,57,1
2,58,1
2,62,2
2,63,2
2,64,2
2,65,1
2,67,1
2,68,1
2,69,1
2,71,1
2,78,1
2,81,2
2,86,1
2,88,1
2,89,1
2,92,1
2,94,2
2,98,1
2,102,2
2,106,1
2,107,1
2,111,1
2,116,1
2,119,1
2,122,1
2,123,4
2,124,1
2,125,1
2,133,21
2,134,16
2,135,7
2,136,2
2,137,13
2,138,10
2,139,2
2,144,2
2,148,1
2,149,1
2,150,1
2,154,3
2,155,1
2,156,6
2,157,100
2,158,111
2,159,156
2,160,201
2,161,122
2,162,9
2,163,3
2,164,2
2,165,10
2,166,13
2,167,11
2,168,1
2,170,4
2,171,4
2,172,3
2,173,2
2,175,2
2,176,9
2,177,5
2,178,14
2,179,8
2,180,7
