time_slot,user_count
0,12
1,5
2,4
3,3
5,6
6,16
7,16
8,38
9,49
10,59
11,83
12,80
13,82
14,80
15,95
16,129
17,71
18,47
19,43
20,68
21,17
22,17
23,7
24,9
25,5
27,3
28,1
29,4
30,7
31,19
32,33
33,47
34,52
35,66
36,72
37,66
38,65
39,64
40,42
41,64
42,40
43,27
44,18
45,13
46,8
47,6
48,4
49,4
50,1
52,2
53,9
54,20
55,83
56,128
57,96
58,90
59,100
60,126
61,101
62,93
63,95
64,104
65,118
66,106
67,65
68,35
69,22
70,14
71,5
72,4
73,1
74,6
75,3
76,3
77,7
78,23
79,71
80,124
81,86
82,101
83,93
84,118
85,126
86,107
87,99
88,88
89,129
90,91
91,61
92,37
93,32
94,17
95,9
96,5
97,3
98,3
99,3
100,4
101,7
102,18
103,61
104,122
105,87
106,85
107,93
108,124
109,104
110,95
111,93
112,84
113,116
114,102
115,74
116,60
117,32
118,19
119,9
120,5
121,5
122,2
123,2
124,3
125,11
126,23
127,75
128,120
129,86
130,92
131,95
132,117
133,129
134,96
135,83
136,83
137,118
138,93
139,76
140,42
141,31
142,25
143,10
144,7
145,5
146,3
147,2
148,3
149,7
150,14
151,24
152,37
153,55
154,87
155,70
156,86
157,100
158,86
159,87
160,84
161,109
162,78
163,57
164,52
165,26
166,6
167,13
168,9
169,5
170,4
171,4
172,1
173,3
174,10
175,18
176,32
177,45
178,44
179,70
180,88
181,86
182,73
183,90
184,70
185,75
186,49
187,42
188,26
189,11
190,14
191,8
192,3
193,4
195,4
196,1
197,6
198,15
199,21
200,42
201,59
202,52
203,73
204,98
205,85
206,65
207,65
208,72
209,58
210,48
211,27
212,24
213,14
214,11
215,5
216,4
217,3
219,2
221,4
222,20
223,62
224,134
225,108
226,96
227,81
228,124
229,113
230,80
231,105
232,74
233,107
234,120
235,70
236,48
237,31
238,21
239,13
240,3
241,3
242,5
243,5
244,1
245,7
246,20
247,64
248,139
249,108
250,107
251,99
252,134
253,119
254,126
255,104
256,114
257,124
258,116
259,78
260,43
261,33
262,18
263,16
264,8
265,7
266,3
267,1
268,1
269,8
270,16
271,75
272,142
273,86
274,82
275,100
276,104
277,107
278,93
279,103
280,99
281,106
282,119
283,78
284,42
285,35
286,20
287,9
288,5
289,3
290,1
291,3
292,4
293,4
294,24
295,83
296,125
297,91
298,103
299,97
300,131
301,115
302,92
303,105
304,102
305,121
306,100
307,83
308,58
309,44
310,32
311,17
312,4
313,5
314,2
315,4
316,2
317,4
318,11
319,20
320,54
321,57
322,65
323,66
324,67
325,66
326,77
327,75
328,77
329,67
330,60
331,50
332,31
333,28
334,16
335,9
336,7
337,3
338,5
339,4
340,7
341,6
342,7
343,17
344,20
345,51
346,54
347,65
348,58
349,64
350,77
351,75
352,55
353,67
354,35
355,38
356,22
357,22
358,14
359,7
360,6
361,3
362,4
363,1
364,3
365,7
366,24
367,67
368,145
369,99
370,113
371,92
372,144
373,120
374,112
375,101
376,111
377,113
378,104
379,81
380,45
381,27
382,17
383,11
384,11
385,11
386,6
387,2
388,4
389,6
390,18
391,79
392,159
393,96
394,90
395,111
396,125
397,114
398,102
399,98
400,87
401,132
402,99
403,66
404,52
405,25
406,19
407,5
408,7
409,5
410,3
411,4
412,2
413,12
414,22
415,72
416,136
417,106
418,110
419,89
420,120
421,115
422,110
423,119
424,100
425,149
426,130
427,61
428,47
429,28
430,13
431,9
432,11
433,6
434,1
435,2
436,4
437,3
438,22
439,72
440,152
441,106
442,77
443,82
444,102
445,98
446,81
447,88
448,82
449,125
450,107
451,70
452,41
453,32
454,16
455,11
456,6
457,3
458,3
459,3
460,1
461,6
462,28
463,63
464,126
465,103
466,96
467,81
468,134
469,110
470,95
471,83
472,94
473,118
474,102
475,73
476,47
477,36
478,31
479,19
480,10
481,8
482,5
483,4
484,3
485,5
486,11
487,22
488,31
489,53
490,69
491,61
492,95
493,85
494,64
495,75
496,64
497,75
498,65
499,50
500,30
501,30
502,8
503,13
504,6
505,7
506,3
507,6
508,2
509,3
510,6
511,16
512,32
513,42
514,47
515,78
516,85
517,82
518,77
519,82
520,66
521,68
522,45
523,35
524,20
525,21
526,12
527,5
528,7
529,4
530,1
531,1
533,8
534,26
535,77
536,129
537,100
538,78
539,110
540,119
541,94
542,97
543,96
544,99
545,119
546,97
547,66
548,42
549,24
550,22
551,6
552,6
553,8
554,1
555,5
556,2
557,10
558,24
559,63
560,149
561,108
562,100
563,93
564,128
565,116
566,93
567,106
568,92
569,126
570,139
571,91
572,51
573,24
574,17
575,7
576,4
577,2
578,3
579,1
580,1
581,5
582,19
583,74
584,128
585,88
586,98
587,115
588,146
589,102
590,91
591,125
592,106
593,138
594,145
595,81
596,76
597,60
598,27
599,12
600,3
602,3
603,2
604,1
605,6
606,17
607,67
608,138
609,100
610,95
611,112
612,136
613,134
614,105
615,115
616,115
617,156
618,120
619,85
620,64
621,61
622,29
623,11
