time_slot,user_count
0,12.0
1,5.0
2,4.0
3,3.0
4,0.0
5,6.0
6,16.0
7,16.0
8,38.0
9,49.0
10,59.0
11,83.0
12,80.0
13,82.0
14,80.0
15,95.0
16,129.0
17,71.0
18,47.0
19,43.0
20,68.0
21,17.0
22,17.0
23,7.0
24,9.0
25,5.0
26,0.0
27,3.0
28,1.0
29,4.0
30,7.0
31,19.0
32,33.0
33,47.0
34,52.0
35,66.0
36,72.0
37,66.0
38,65.0
39,64.0
40,42.0
41,64.0
42,40.0
43,27.0
44,18.0
45,13.0
46,8.0
47,6.0
48,4.0
49,4.0
50,1.0
51,0.0
52,2.0
53,9.0
54,20.0
55,83.0
56,128.0
57,96.0
58,90.0
59,100.0
60,126.0
61,101.0
62,93.0
63,95.0
64,104.0
65,118.0
66,106.0
67,65.0
68,35.0
69,22.0
70,14.0
71,5.0
72,4.0
73,1.0
74,6.0
75,3.0
76,3.0
77,7.0
78,23.0
79,71.0
80,124.0
81,86.0
82,101.0
83,93.0
84,118.0
85,126.0
86,107.0
87,99.0
88,88.0
89,129.0
90,91.0
91,61.0
92,37.0
93,32.0
94,17.0
95,9.0
96,5.0
97,3.0
98,3.0
99,3.0
100,4.0
101,7.0
102,18.0
103,61.0
104,122.0
105,87.0
106,85.0
107,93.0
108,124.0
109,104.0
110,95.0
111,93.0
112,84.0
113,116.0
114,102.0
115,74.0
116,60.0
117,32.0
118,19.0
119,9.0
120,5.0
121,5.0
122,2.0
123,2.0
124,3.0
125,11.0
126,23.0
127,75.0
128,120.0
129,86.0
130,92.0
131,95.0
132,117.0
133,129.0
134,96.0
135,83.0
136,83.0
137,118.0
138,93.0
139,76.0
140,42.0
141,31.0
142,25.0
143,10.0
144,7.0
145,5.0
146,3.0
147,2.0
148,3.0
149,7.0
150,14.0
151,24.0
152,37.0
153,55.0
154,87.0
155,70.0
156,86.0
157,100.0
158,86.0
159,87.0
160,84.0
161,109.0
162,78.0
163,57.0
164,52.0
165,26.0
166,6.0
167,13.0
168,9.0
169,5.0
170,4.0
171,4.0
172,1.0
173,3.0
174,10.0
175,18.0
176,32.0
177,45.0
178,44.0
179,70.0
180,88.0
181,86.0
182,73.0
183,90.0
184,70.0
185,75.0
186,49.0
187,42.0
188,26.0
189,11.0
190,14.0
191,8.0
192,3.0
193,4.0
194,0.0
195,4.0
196,1.0
197,6.0
198,15.0
199,21.0
200,42.0
201,59.0
202,52.0
203,73.0
204,98.0
205,85.0
206,65.0
207,65.0
208,72.0
209,58.0
210,48.0
211,27.0
212,24.0
213,14.0
214,11.0
215,5.0
216,4.0
217,3.0
218,0.0
219,2.0
